Item,Qty,Description,Manufacturer,MPN,Supplier,Supplier part,URL,Used for,Notes
"Enclosure, top shell",1,"Sheet metal U-shell, aluminum 5052, t = 1.5 mm, anodized black glossy",,,"JLCCNC (made to order, sheet metal)",,,"Top face and both side walls: pots, LED, toggles, footswitch, 1/4 in jacks","See enclosure/ drawings (hole drawing sheet 1 ""Top""). Ordered together with the bottom shell as one sheet-metal assembly; order finish was laser marking (top face only) + Anodizing Black Glossy"
"Enclosure, bottom shell",1,"Sheet metal U-shell with 4 tapped tabs (M3x0.5 burring, 2.0 mm effective thread), aluminum 5052, t = 1.5 mm, anodized black glossy",,,"JLCCNC (made to order, sheet metal)",,,"Back cover and end wall: DC jack, 2x 3.5 mm MIDI jacks","See enclosure/ drawings (hole drawing sheet 2 ""Bottom""). No laser marking on the bottom shell (marking is on the top face only)"
Enclosure screw,4,"Pan head machine screw (+), M3x5, brass",,,Akizuki Denshi,107325,https://akizukidenshi.com/catalog/g/g107325/,Top shell (4x dia. 3.6 mm holes) to bottom shell (4x M3 tapped tabs),Same part as the PCB spacer screws. Supplier part 107325 is a pack of 100
PCB spacer,2,"Hex spacer, female-female, M3x0.5, length 11 mm, 5.5 mm across flats, brass",M.Y.G,FB3-11,Akizuki Denshi,115440,https://akizukidenshi.com/catalog/g/g115440/,Joins top and bottom PCBs at H1-H101 and H2-H102,Supplier part 115440 is a single piece (pack of 100: 115639)
PCB spacer screw,4,"Pan head machine screw (+), M3x5, brass",,,Akizuki Denshi,107325,https://akizukidenshi.com/catalog/g/g107325/,Fixing the 2 PCB spacers (one screw from each PCB side per spacer),Same part as the enclosure screws
Knob,4,"Aluminum knob, Davies 1510 style, silver, 19 mm dia., 14.6 mm high, 6.35 mm round shaft hole, set screw",,,Tayda Electronics,A-7154,https://www.taydaelectronics.com/aluminum-davies-1510-clone-silver-knob-shaft-hole-6-35-mm.html,RV1-RV4 (top PCB),
Footswitch cable,1,"Cable with connector, 3-pin, 2.0 mm pitch (JST PH compatible) straight plug, 150 mm, black/orange/white, other end solder-plated",Herwell Asia Limited,GP2A-2-B,Akizuki Denshi,111659,https://akizukidenshi.com/catalog/g/g111659/,Bottom PCB J102 to footswitch PCB J1,The intended part is a made-to-order JST PH 3-pin cable of specified length; the initial production run used Akizuki 111659 instead
